actor,director,imdb,likes,metacritic,title,url,writer,year
"One,One,23,",163,7.8,7.3K,91,The Triplets of Belleville (2003),http://www.imdb.com/title/tt0286244/?ref_=fn_tt_tt_1,163,2003
"One,3.4K,3,",269,6.8,62,70,The Motel (2005),http://www.imdb.com/title/tt0436607/?ref_=fn_tt_tt_1,269,2005
"One,3,5,",162,8.1,7.2K,82,Touching the Void (2003),http://www.imdb.com/title/tt0379557/?ref_=fn_tt_tt_1,One,2003
"One,2,4,",One,6.4,412,40,Shade (2003),http://www.imdb.com/title/tt0323939/?ref_=fn_tt_tt_1,One,2003
"One,195,595,",3,7.4,694,73,Wordplay (2006),http://www.imdb.com/title/tt0492506/?ref_=fn_tt_tt_1,3,2006
"One,151,3.2K,",25,6.2,1.8K,57,Our Kind of Traitor (2016),http://www.imdb.com/title/tt1995390/?ref_=fn_tt_tt_1,118,2016
"9K,40K,780,",7,5.3,1K,37,The Astronaut's Wife (1999),http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,7,1999
"9K,40K,780,",7,5.3,1K,37,The Astronaut's Wife (1999),http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,7,1999
"9K,4.1K,785,",652,6.3,6.9K,71,Young Adult (2011),http://www.imdb.com/title/tt1625346/?ref_=fn_tt_tt_1,360,2011
"9K,3.1K,849,",263,7.3,6.3K,74,Monster (2003),http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,263,2003
"9K,10K,2.5K,",51,7.3,2.9K,68,North Country (2005),http://www.imdb.com/title/tt0395972/?ref_=fn_tt_tt_1,5,2005
"997,2.1K,250,",158,8,3.1K,89,High Noon (1952),http://www.imdb.com/title/tt0044706/?ref_=fn_tt_tt_1,4,1952
"990,2.3K,2K,",16,5.9,13K,22,Do You Believe? (2015),http://www.imdb.com/title/tt4056738/?ref_=fn_tt_tt_1,4,2015
"99,70,32,",2.8K,6.2,28K,55,The Visit (2015),http://www.imdb.com/title/tt3567288/?ref_=fn_tt_tt_1,2.8K,2015
"985,646,1.3K,",One,6.9,1.6K,57,Special (2006),http://www.imdb.com/title/tt0479162/?ref_=fn_tt_tt_1,One,2006
"984,31,28,",4,7.1,2.5K,19,To Save a Life (2009),http://www.imdb.com/title/tt1270286/?ref_=fn_tt_tt_1,4,2009
"982,2.9K,509,",2.9K,5.9,682,25,Georgia Rule (2007),http://www.imdb.com/title/tt0791304/?ref_=fn_tt_tt_1,8,2007
"98,962,19,",25,6,122,68,The Girl on the Train (2009),http://www.imdb.com/title/tt1183672/?ref_=fn_tt_tt_1,25,2009
"975,7.1K,2.7K,",570,6.8,20K,50,Super (2010),http://www.imdb.com/title/tt1512235/?ref_=fn_tt_tt_1,570,2010
"975,371,1.5K,",42,6.4,2.7K,54,Diary of a Wimpy Kid: Dog Days (2012),http://www.imdb.com/title/tt2023453/?ref_=fn_tt_tt_1,8,2012
"975,1K,1.5K,",11,6.2,1.6K,53,The Rocker (2008),http://www.imdb.com/title/tt1031969/?ref_=fn_tt_tt_1,8,2008
"975,1.5K,371,",42,6.6,2.7K,51,Diary of a Wimpy Kid: Rodrick Rules (2011),http://www.imdb.com/title/tt1650043/?ref_=fn_tt_tt_1,4,2011
"974,750,1.2K,",29,4.8,856,33,New York Minute (2004),http://www.imdb.com/title/tt0363282/?ref_=fn_tt_tt_1,2,2004
"974,450,79,",61,6.1,3.4K,42,Snow Flower and the Secret Fan (2011),http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,4,2011
"972,449,480,",100,6.9,8K,64,Napoleon Dynamite (2004),http://www.imdb.com/title/tt0374900/?ref_=fn_tt_tt_1,100,2004
"971,850,639,",50,7,2.1K,42,The Perfect Game (2009),http://www.imdb.com/title/tt0473102/?ref_=fn_tt_tt_1,2,2009
"97,50,14,",36,6.7,11K,53,Penguins of Madagascar (2014),http://www.imdb.com/title/tt1911658/?ref_=fn_tt_tt_1,2,2014
"968,92,409,",18,3,842,36,Phat Girlz (2006),http://www.imdb.com/title/tt0490196/?ref_=fn_tt_tt_1,18,2006
"966,80,2.2K,",387,7.4,11K,82,Frances Ha (2012),http://www.imdb.com/title/tt2347569/?ref_=fn_tt_tt_1,387,2012
"966,1.7K,2.4K,",103,5.7,1.7K,67,Damsels in Distress (2011),http://www.imdb.com/title/tt1667307/?ref_=fn_tt_tt_1,103,2011
