actor_awd,dir_awd,url,writer_awd
154,123,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,123
359,18,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,14
206,64,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,37
393,288,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,29
79,84,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,84
145,26,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,26
35,4,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,2
295,60,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,60
142,29,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,33
379,10,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,38
155,34,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,10
92,19,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,95
359,18,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,14
217,18,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,8
284,10,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,17
21,26,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,26
313,60,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,60
359,35,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,14
353,14,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,3
149,255,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,101
186,7,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,16
439,123,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,51
149,255,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,101
258,13,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,13
231,255,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,101
523,123,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,123
313,8,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,12
71,17,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,1
82,9,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,2
225,64,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,5
180,26,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,11
244,10,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1
360,81,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,6
258,10,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,9
248,8,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,8
92,18,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,5
96,18,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,5
288,26,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,0
296,7,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,10
119,0,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,13
167,64,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,64
114,5,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,9
300,39,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,64
180,1,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,1
85,18,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,1
221,19,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,0
243,34,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,9
115,62,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,10
154,34,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,1
432,83,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,83
236,24,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,6
126,99,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,2
71,18,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,5
446,348,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,10
140,6,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,31
214,14,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,10
71,9,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,30
70,84,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,84
162,10,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,4
